family,lam,p_SB,regime_W,p_cost,regime_E,p_bar_low,p_bar_high,wedge
ces,0.1,1.1125,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.8875
ces,0.12000000000000001,1.135,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.865
ces,0.14,1.162,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.838000000000001
ces,0.16,1.189,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.811
ces,0.18,1.2205,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.7795
ces,0.2,1.252,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.748
ces,0.22,1.2835,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.7165
ces,0.24000000000000002,1.315,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.685
ces,0.26,1.351,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.649000000000001
ces,0.28,1.387,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.613
ces,0.30000000000000004,1.4275,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.5725
ces,0.32,1.4725,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.5275
ces,0.33999999999999997,1.513,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.487
ces,0.36,1.5625,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.4375
ces,0.38,1.612,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.388
ces,0.4,1.666,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.334
ces,0.42000000000000004,1.7245,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.275500000000001
ces,0.44000000000000006,1.7875,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.2125
ces,0.45999999999999996,1.8504999999999998,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.1495
ces,0.48,1.9224999999999999,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.0775
ces,0.5,1.9989999999999999,INTERIOR_GENERIC,10.0,UPPER_CORNER,,,8.001
ces,0.52,2.0845000000000002,INTERIOR_GENERIC,10.0,UPPER_CORNER,3.1249999999999987,5.5555555555555545,7.9155
ces,0.54,2.1745,INTERIOR_GENERIC,10.0,UPPER_CORNER,2.87373176349097,6.5780640777204225,7.8255
ces,0.56,2.2735,INTERIOR_GENERIC,10.0,UPPER_CORNER,2.7119127919343162,7.618665720462383,7.7265
ces,0.58,2.3815,INTERIOR_GENERIC,10.0,UPPER_CORNER,2.593047626700559,8.744820854025063,7.6185
ces,0.6,2.4985,AT_KINK,10.0,UPPER_CORNER,2.5000000000000004,10.000000000000002,7.5015
ces,0.62,2.4219999999999997,AT_KINK,10.0,UPPER_CORNER,2.424355454495316,11.42606005797006,7.578
ces,0.64,2.359,AT_KINK,10.0,UPPER_CORNER,2.3613112429328815,13.070787522499222,7.641
ces,0.66,2.3049999999999997,AT_KINK,10.0,UPPER_CORNER,2.307853709403684,14.99318435288006,7.695
ces,0.6799999999999999,2.26,AT_KINK,10.0,UPPER_CORNER,2.2619637842583833,17.269286215740408,7.74
ces,0.7,6.6655,INTERIOR_ORIGINATOR,10.0,UPPER_CORNER,2.2222222222222223,20.0,3.3345000000000002
ces,0.72,7.142499999999999,INTERIOR_ORIGINATOR,10.0,UPPER_CORNER,2.187594297342867,23.32260978428978,2.857500000000001
ces,0.74,7.6915,INTERIOR_ORIGINATOR,10.0,UPPER_CORNER,2.1573038437499275,27.42849497281453,2.3085000000000004
ces,0.76,8.334999999999999,INTERIOR_ORIGINATOR,10.0,UPPER_CORNER,2.130755417040757,32.59146680518147,1.665000000000001
ces,0.78,9.091,INTERIOR_ORIGINATOR,10.0,UPPER_CORNER,2.1074840325259103,39.214830017060876,0.9090000000000007
ces,0.8,10.0,UPPER_CORNER,10.0,UPPER_CORNER,2.087121525220708,47.912878474767716,0.0
ces,0.82,10.0,UPPER_CORNER,10.0,UPPER_CORNER,2.069373358788639,59.65902170293972,0.0
ces,0.84,10.0,UPPER_CORNER,10.0,UPPER_CORNER,2.0540022427280897,76.07099775727187,0.0
ces,0.86,10.0,UPPER_CORNER,10.0,UPPER_CORNER,2.0408163265306123,99.99999999999997,0.0
